title,category,volumes,user_id,id,last_updated,status
Animal Farm,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,1,2026-03-22 11:30:47.449747+00,green
Conan,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,2,2026-03-22 11:30:47.449747+00,green
Dan Brown,Novel,"[""origin"", ""the lost symbol"", ""interno"", ""davinci code"", ""angle and demons""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,3,2026-03-22 11:30:47.449747+00,green
Fantastic Beasts,Novel,"[""fantastic beast and where to find them""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,4,2026-03-22 11:30:47.449747+00,red
Harry Potter,Novel,"[""Harry Potter and the Philosopher's Stone"", ""Harry Potter and the Chamber of Secrets"", ""Harry Potter and the Prisoner of Azkaban"", ""Harry Potter and the Goblet of Fire"", ""Harry Potter and the Order of the Phoenix"", ""Harry Potter and the Half-Blood Prince"", ""Harry Potter and the Deathly Hallows""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,5,2026-03-22 11:30:47.449747+00,green
Moomin,Novel,"[""\u0e42\u0e25\u0e01\u0e43\u0e19\u0e2b\u0e38\u0e1a\u0e40\u0e02\u0e32\u0e21\u0e39\u0e21\u0e34\u0e19""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,6,2026-03-22 11:30:47.449747+00,green
Percy Jackson,Novel,"[""percy jackson and the lightning thief"", ""percy jackson and the sea of monster"", ""percy jackson and the titan's curse"", ""percy jackson and the battle of the labyrinth"", ""percy jackson and the last olympian""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,7,2026-03-22 11:30:47.449747+00,green
Sakura no Ame,Novel,"[""\u0e22\u0e32\u0e21\u0e40\u0e21\u0e37\u0e48\u0e2d\u0e0b\u0e32\u0e01\u0e38\u0e23\u0e30\u0e42\u0e1b\u0e23\u0e22\u0e1b\u0e23\u0e32\u0e22""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,8,2026-03-22 11:30:47.449747+00,green
Sherlock Holmes,Novel,"[""a study in scarlet"", ""the sign of four"", ""the hound of the baskervilles"", ""the valley of fear"", ""the adventures of sherlock holmes"", ""the memoirs of sherlock holmes"", ""the return of sherlock holmes"", ""his last bow"", ""the case-book of sherlock holmes"", ""the private life of sherlock holmes"", ""the seven-per-cent solution"", ""the west end horror"", ""the exploits""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,9,2026-03-22 11:30:47.449747+00,green
The Last Policeman,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,10,2026-03-22 11:30:47.449747+00,green
Your Name,Novel,"[""another side"", ""write novel""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,11,2026-03-22 11:30:47.449747+00,green
Narnia,Novel,"[""\u0e01\u0e33\u0e40\u0e19\u0e34\u0e14\u0e19\u0e32\u0e23\u0e4c\u0e40\u0e19\u0e35\u0e22"", ""\u0e15\u0e39\u0e49\u0e1e\u0e34\u0e28\u0e27\u0e07"", ""\u0e2d\u0e32\u0e0a\u0e32\u0e01\u0e31\u0e1a\u0e40\u0e14\u0e47\u0e01\u0e0a\u0e32\u0e22"", ""\u0e40\u0e08\u0e49\u0e32\u0e0a\u0e32\u0e22\u0e41\u0e04\u0e2a\u0e40\u0e1b\u0e35\u0e49\u0e22\u0e19"", ""\u0e1c\u0e08\u0e0d\u0e20\u0e31\u0e22\u0e42\u0e1e\u0e49\u0e19\u0e17\u0e30\u0e40\u0e25"", ""\u0e40\u0e01\u0e49\u0e32\u0e2d\u0e35\u0e49\u0e40\u0e07\u0e34\u0e19"", ""\u0e2d\u0e27\u0e2a\u0e32\u0e19\u0e01\u0e32\u0e23\u0e22\u0e38\u0e17\u0e18\u0e4c""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,12,2026-03-22 11:30:47.449747+00,green
คดีฆาตกรรมบนเนินอิโตะโมริ,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,13,2026-03-22 11:30:47.449747+00,green
คดีบ้าน,Novel,"[""\u0e04\u0e14\u0e35\u0e06\u0e32\u0e15\u0e23\u0e01\u0e23\u0e23\u0e21\u0e43\u0e19\u0e1a\u0e49\u0e32\u0e19\u0e2a\u0e34\u0e1a\u0e40\u0e2b\u0e25\u0e35\u0e48\u0e22\u0e21""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,14,2026-03-22 11:30:47.449747+00,yellow
คฤหาสน์ความลับ,Novel,"[""1"", ""2""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,15,2026-03-22 11:30:47.449747+00,green
ความรู้สึกที่ยังไม่มีบทสรุป,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,16,2026-03-22 11:30:47.449747+00,green
Cubic,Novel,"[""1"", ""2"", ""3"", ""4""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,17,2026-03-22 11:30:47.449747+00,green
คุณข้าว (Series),Novel,"[""\u0e17\u0e48\u0e2d\u0e07\u0e40\u0e17\u0e35\u0e48\u0e22\u0e27\u0e01\u0e31\u0e1a\u0e04\u0e38\u0e13\u0e09\u0e25\u0e32\u0e21"", ""\u0e40\u0e01\u0e34\u0e14\u0e40\u0e1b\u0e47\u0e19\u0e04\u0e38\u0e13\u0e40\u0e15\u0e48\u0e32"", ""\u0e17\u0e30\u0e40\u0e25\u0e04\u0e38\u0e13\u0e22\u0e31\u0e01\u0e29\u0e4c"", ""\u0e04\u0e38\u0e01\u0e01\u0e35\u0e49\u0e41\u0e2d\u0e19\u0e14\u0e4c\u0e04\u0e23\u0e35\u0e21"", ""\u0e04\u0e39\u0e48\u0e21\u0e37\u0e2d\u0e04\u0e38\u0e13\u0e40\u0e0a\u0e2a"", ""\u0e2a\u0e40\u0e1b\u0e40\u0e0a\u0e35\u0e22\u0e25""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,18,2026-03-22 11:30:47.449747+00,green
เจ้าชายน้อย,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,19,2026-03-22 11:30:47.449747+00,green
ชีวิตมหัศจรรย์ของออกัสต์,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,20,2026-03-22 11:30:47.449747+00,green
Senpai,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,21,2026-03-22 11:30:47.449747+00,green
ดอกไม้ราตรี,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,22,2026-03-22 11:30:47.449747+00,green
ดอกไม้ไฟต้องมองจากด้านล่างหรือด้านข้าง,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,23,2026-03-22 11:30:47.449747+00,green
เดอะซิกเซนส์ (The Sixth Sense),Novel,"[""\u0e13\u0e32\u0e13\u0e2a\u0e37\u0e48\u0e2d\u0e23\u0e31\u0e01"", ""\u0e01\u0e31\u0e1a\u0e14\u0e31\u0e01\u0e23\u0e31\u0e01\u0e25\u0e27\u0e07"", ""\u0e40\u0e25\u0e2b\u0e4c\u0e1a\u0e48\u0e27\u0e07\u0e21\u0e19\u0e15\u0e23\u0e32"", ""\u0e21\u0e32\u0e22\u0e32\u0e23\u0e49\u0e2d\u0e22\u0e43\u0e08"", ""\u0e40\u0e1b\u0e25\u0e44\u0e1f\u0e43\u0e19\u0e2a\u0e32\u0e1a\u0e25\u0e21""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,24,2026-03-22 11:30:47.449747+00,green
แดนดาวเนเวอร์ดาย (แดนดาว),Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,25,2026-03-22 11:30:47.449747+00,green
เด็กชายในชุดนอนลายทาง,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,26,2026-03-22 11:30:47.449747+00,green
ไตรฉัตร,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,27,2026-03-22 11:30:47.449747+00,green
ที่สองไม่ไหวขอเป็นที่หนึ่ง,Novel,"[""1""]",6f9750bd-eace-4bf7-92d2-068033cc1bb7,28,2026-03-22 11:30:47.449747+00,green
